removed outliers,Human created curated pr (100),,,,,,Pure human (100),,,,,,Statistical analysis,,
Metric,min,Q1,Median,Mean,Q3,Max,min,Q1,Median,Mean,Q3,Max,P-value,Effect size (delta),Effect label
time_to_close_hours,0.0022,0.0494,0.2883,3.0405,10.6376,823.5272,0.0036,2.5775,19.3750,42.7214,116.2144,2638.2289,0.0000,-0.5348,Large
time_to_close_days,0.0001,0.0021,0.0120,0.1267,0.4432,34.3136,0.0002,0.1074,0.8073,1.7801,4.8423,109.9262,0.0000,-0.5348,Large
body_length,44,418.25,1640,2156.23,3822,18243,0,327,835,1097.05,1695,15083,0.0008,0.2775,Small
commits,1,1,2,3.1481,6,59,1,1,3,4.5444,8.5,51,0.2270,-0.0991,Negligible
changed_files,1,2.25,4.5,9.0833,18,993,1,3,5,8.1977,17,1003,0.6602,-0.0366,Negligible
additions,0,41,129,649.9877,1722,107663,0,26.5,98.5,220.7273,491,359420,0.1018,0.1365,Negligible
deletions,0,24.5,59,136.6914,335.25,72083,0,23.5,80,128.5238,304.5,116298,0.8265,-0.0184,Negligible
code_churn,1,90.75,307,1086.3765,2563.75,179746,1,69,245,351.2143,847.5,418116,0.1543,0.1188,Negligible
review_iterations,0,0,0,0.2405,1,26,0,1,2,2.5393,5,30,0.0000,-0.5073,Large
number_of_reviewers,0,0,0,0.7204,1.75,6,0,1,3,3.3093,5,17,0.0000,-0.5880,Large
total_comments,0,0,0,1.0854,3,34,0,1,2.5,4.3,8,46,0.0001,-0.3098,Small
reviewer_workload_hours,0.0106,0.1179,0.6883,1.6676,4.5698,398.0088,0.0150,1.2981,12.0256,27.9524,66.0208,1144.1686,0.0001,-0.4501,Medium
