removed outliers,"Curated pr mixed (50 agent, 50 human created)",,,,,,Pure human,,,,,,Statistical analysis,,
Metric,min,Q1,Median,Mean,Q3,Max,min,Q1,Median,Mean,Q3,Max,P-value,Effect size (delta),Effect label
time_to_close_hours,0.002222222,0.049374999999999974,0.2883333333333333,3.0404927248677245,10.637569444444443,823.5272222222222,0.003611111,2.5775,19.375,42.721369281045746,116.21444444444444,2638.228888888889,1.1189191592164562e-10,-0.534820114,Large
time_to_close_days,9.25925925925926e-05,0.002057292,0.012013889,0.12668719686948848,0.44323206018518513,34.31363425925926,0.000150463,0.1073958333333333,0.8072916666666666,1.7800570533769065,4.842268518518519,109.9262037037037,1.1189191592164562e-10,-0.534820114,Large
body_length,44,418.25,1640,2156.2340425531916,3822,18243,0,327,835,1097.0531914893618,1695,15083,0.000771315,0.2774685631828489,Small
commits,1,1,2,3.1481481481481484,6,59,1,1,3,4.544444444444444,8.5,51,0.22698178247425416,-0.099075865,Negligible
changed_files,1,2.25,4.5,9.083333333333334,18,993,1,3,5,8.197674419,17,1003,0.6601716703120808,-0.036643026,Negligible
additions,0,41,129,649.9876543209876,1722,107663,0,26.5,98.5,220.72727272727272,491,359420,0.10181610010473095,0.13647109391790244,Negligible
deletions,0,24.5,59,136.69135802469137,335.25,72083,0,23.5,80,128.52380952380952,304.5,116298,0.8265213742519673,-0.018375242,Negligible
code_churn,1,90.75,307,1086.3764705882354,2563.75,179746,1,69,245,351.2142857142857,847.5,418116,0.15431744097805675,0.11884805501826778,Negligible
review_iterations,0,0,0,0.24050632911392406,1,26,0,1,2,2.539325842696629,5,30,1.8181408547513e-10,-0.507318079,Large
number_of_reviewers,0,0,0,0.7204301075268817,1.75,6,0,1,3,3.3092783505154637,5,17,1.9145647854314208e-13,-0.588023088,Large
total_comments,0,0,0,1.0853658536585367,3,34,0,1,2.5,4.3,8,46,0.000131333,-0.309833024,Small
reviewer_workload_hours,0.010555556,0.11787037037037029,0.6883333333333334,1.667643348456567,4.569833333333333,398.0088333333333,0.015,1.2980555555555555,12.025638888888889,27.952375259934804,66.02083333333334,1144.1685925925926,0.000112183,-0.450084034,Medium
